id_rodada,trecho,refatoracao_tipo,persona,replica,status,complexity_base,complexity_pos,complexity_delta,smells_base,smells_pos,smells_delta,tempo_execucao_seg,token_count,prompt_tokens,candidates_tokens
176,Math_1_ReplaceConditionalWithPolymorphism_34,ReplaceConditionalWithPolymorphism,P-4,2,VALIDO,10,13,3,0,1,1,46.57,7490,1357,1840
177,Math_1_ReplaceConditionalWithPolymorphism_41,ReplaceConditionalWithPolymorphism,P-1,1,VALIDO,25,38,13,0,0,0,66.4,12337,2133,2874
178,Math_1_ReplaceConditionalWithPolymorphism_41,ReplaceConditionalWithPolymorphism,P-1,2,VALIDO,25,39,14,0,1,1,43.53,10229,2133,2568
179,Math_1_ReplaceConditionalWithPolymorphism_41,ReplaceConditionalWithPolymorphism,P-2,1,VALIDO,25,33,8,0,0,0,42.52,8539,2077,2566
180,Math_1_ReplaceConditionalWithPolymorphism_41,ReplaceConditionalWithPolymorphism,P-2,2,VALIDO,25,38,13,0,0,0,46.01,9828,2077,2569
181,Math_1_ReplaceConditionalWithPolymorphism_41,ReplaceConditionalWithPolymorphism,P-3,1,VALIDO,25,33,8,0,0,0,47.67,8264,2084,2486
182,Math_1_ReplaceConditionalWithPolymorphism_41,ReplaceConditionalWithPolymorphism,P-3,2,VALIDO,25,34,9,0,6,6,87.52,9828,2084,2614
183,Math_1_ReplaceConditionalWithPolymorphism_41,ReplaceConditionalWithPolymorphism,P-4,1,VALIDO,25,37,12,0,0,0,45.23,9670,2105,2665
184,Math_1_ReplaceConditionalWithPolymorphism_41,ReplaceConditionalWithPolymorphism,P-4,2,VALIDO,25,34,9,0,0,0,620.69,9320,2105,2637
185,Math_1_ReplaceConditionalWithPolymorphism_50,ReplaceConditionalWithPolymorphism,P-1,1,VALIDO,17,24,7,1,4,3,563.04,14830,2064,2781
186,Math_1_ReplaceConditionalWithPolymorphism_50,ReplaceConditionalWithPolymorphism,P-1,2,VALIDO,17,24,7,1,1,0,552.04,13346,2064,2416
187,Math_1_ReplaceConditionalWithPolymorphism_50,ReplaceConditionalWithPolymorphism,P-2,1,VALIDO,17,26,9,1,4,3,553.0,9520,2008,2568
188,Math_1_ReplaceConditionalWithPolymorphism_50,ReplaceConditionalWithPolymorphism,P-2,2,VALIDO,17,24,7,1,1,0,1053.76,11876,2008,2685
189,Math_1_ReplaceConditionalWithPolymorphism_50,ReplaceConditionalWithPolymorphism,P-3,1,VALIDO,17,24,7,1,1,0,55.98,8882,2015,2481
190,Math_1_ReplaceConditionalWithPolymorphism_50,ReplaceConditionalWithPolymorphism,P-3,2,VALIDO,17,24,7,1,1,0,51.99,9567,2015,2492
191,Math_1_ReplaceConditionalWithPolymorphism_50,ReplaceConditionalWithPolymorphism,P-4,1,FALHA_COMPILACAO,17,,,1,,,0.7,11594,2036,2572
192,Math_1_ReplaceConditionalWithPolymorphism_50,ReplaceConditionalWithPolymorphism,P-4,2,VALIDO,17,24,7,1,3,2,52.67,10756,2036,2654
193,Math_1_ReplaceConditionalWithPolymorphism_30,ReplaceConditionalWithPolymorphism,P-1,1,VALIDO,27,33,6,2,3,1,60.61,12297,2170,2541
194,Math_1_ReplaceConditionalWithPolymorphism_30,ReplaceConditionalWithPolymorphism,P-1,2,VALIDO,27,34,7,2,2,0,53.36,11530,2170,2168
